gas_ftir_scan24_replicate1,gas_ftir_scan24_replicate2,gas_ftir_scan24_replicate3,gas_ftir_scan24_replicate4,gas_ftir_scan24_replicate5,gas_ftir_scan24_replicate6,gas_ftir_scan24_replicate7,gas_ftir_scan24_replicate8,gas_ftir_scan24_replicate9
138.99,129.83,120.1,130.79,100.97,100.91,93.18,98.39,100.37
138.96,129.8,120.1,130.77,100.98,100.92,93.16,98.39,100.37
138.96,129.8,120.07,130.75,100.98,100.91,93.2,98.41,100.37
138.97,129.81,120.06,130.74,100.97,100.89,93.25,98.43,100.36
138.98,129.8,120.06,130.76,100.97,100.89,93.26,98.42,100.36
138.97,129.77,120.07,130.76,100.98,100.91,93.24,98.41,100.36
138.95,129.73,120.06,130.73,100.98,100.91,93.23,98.42,100.36
138.93,129.71,120.04,130.69,100.98,100.91,93.26,98.44,100.35
138.93,129.71,120.04,130.68,100.96,100.9,93.29,98.45,100.34
138.92,129.71,120.05,130.69,100.96,100.9,93.28,98.45,100.35
138.91,129.68,120.06,130.68,100.96,100.91,93.25,98.44,100.35
138.89,129.67,120.05,130.66,100.97,100.91,93.25,98.44,100.35
138.88,129.68,120.03,130.64,100.97,100.9,93.27,98.45,100.34
138.89,129.71,120.03,130.65,100.96,100.89,93.26,98.45,100.35
138.88,129.72,120.04,130.68,100.97,100.9,93.22,98.44,100.35
138.86,129.71,120.05,130.68,100.98,100.91,93.19,98.43,100.35
138.86,129.71,120.04,130.68,100.98,100.9,93.21,98.43,100.35
138.86,129.73,120.03,130.68,100.98,100.89,93.25,98.44,100.35
138.86,129.76,120.04,130.71,100.97,100.89,93.27,98.44,100.35
138.86,129.75,120.06,130.73,100.97,100.9,93.24,98.41,100.36
138.84,129.72,120.06,130.73,100.98,100.91,93.21,98.4,100.36
138.81,129.7,120.05,130.69,100.98,100.9,93.23,98.41,100.36
138.81,129.7,120.04,130.67,100.96,100.89,93.28,98.42,100.35
138.81,129.7,120.05,130.67,100.95,100.89,93.32,98.43,100.35
138.81,129.68,120.07,130.68,100.95,100.9,93.31,98.42,100.35
138.79,129.64,120.07,130.66,100.95,100.91,93.3,98.42,100.35
138.77,129.61,120.06,130.63,100.95,100.91,93.31,98.43,100.34
138.76,129.6,120.05,130.61,100.94,100.9,93.33,98.45,100.33
138.76,129.59,120.04,130.6,100.94,100.89,93.35,98.47,100.33
138.76,129.59,120.05,130.6,100.93,100.89,93.36,98.47,100.33
138.76,129.58,120.05,130.6,100.94,100.9,93.35,98.47,100.32
138.76,129.58,120.05,130.59,100.94,100.9,93.35,98.47,100.32
138.76,129.58,120.05,130.59,100.93,100.89,93.35,98.48,100.32
138.76,129.58,120.04,130.59,100.93,100.89,93.35,98.48,100.32
138.76,129.58,120.04,130.59,100.93,100.89,93.36,98.48,100.32
138.76,129.59,120.04,130.59,100.93,100.89,93.35,98.48,100.32
138.76,129.6,120.04,130.6,100.93,100.89,93.34,98.47,100.32
138.75,129.6,120.05,130.61,100.93,100.89,93.33,98.47,100.33
138.75,129.6,120.04,130.6,100.93,100.89,93.33,98.47,100.33
138.75,129.6,120.04,130.6,100.93,100.89,93.34,98.47,100.33
138.76,129.61,120.04,130.6,100.93,100.89,93.35,98.47,100.33
138.76,129.61,120.04,130.61,100.94,100.9,93.35,98.46,100.33
138.75,129.6,120.05,130.61,100.94,100.9,93.33,98.46,100.33
138.74,129.59,120.04,130.6,100.94,100.9,93.33,98.46,100.33
138.74,129.6,120.03,130.6,100.94,100.9,93.34,98.47,100.32
138.75,129.6,120.03,130.6,100.94,100.89,93.34,98.47,100.32
138.76,129.61,120.03,130.61,100.94,100.89,93.32,98.46,100.33
138.76,129.6,120.03,130.61,100.94,100.9,93.31,98.46,100.33
138.76,129.6,120.02,130.6,100.95,100.89,93.31,98.46,100.33
138.76,129.62,120.02,130.6,100.94,100.89,93.32,98.46,100.33
138.77,129.63,120.02,130.61,100.94,100.89,93.31,98.46,100.33
138.76,129.63,120.03,130.62,100.94,100.9,93.29,98.45,100.34
138.76,129.62,120.03,130.62,100.95,100.9,93.29,98.44,100.34
138.76,129.62,120.02,130.61,100.94,100.89,93.3,98.45,100.34
138.76,129.63,120.02,130.61,100.94,100.89,93.32,98.45,100.33
138.76,129.63,120.02,130.62,100.94,100.89,93.31,98.45,100.34
138.76,129.62,120.03,130.63,100.94,100.9,93.29,98.44,100.34
138.75,129.61,120.02,130.61,100.94,100.9,93.28,98.44,100.34
138.75,129.61,120.02,130.6,100.94,100.89,93.29,98.44,100.34
138.75,129.62,120.01,130.6,100.94,100.88,93.31,98.45,100.34
138.76,129.62,120.02,130.61,100.94,100.88,93.3,98.44,100.34
138.75,129.62,120.02,130.61,100.94,100.89,93.29,98.44,100.34
138.73,129.63,120.02,130.6,100.94,100.89,93.28,98.43,100.34
138.72,129.64,120.01,130.6,100.94,100.89,93.25,98.43,100.34
138.71,129.65,120.01,130.61,100.94,100.89,93.22,98.43,100.34
138.7,129.67,120.01,130.62,100.95,100.9,93.19,98.42,100.35
138.69,129.68,120.0,130.62,100.97,100.89,93.15,98.42,100.35
138.68,129.7,119.99,130.64,100.98,100.89,93.12,98.41,100.35
138.68,129.71,119.99,130.64,100.99,100.88,93.12,98.41,100.35
138.7,129.73,119.98,130.65,100.99,100.88,93.14,98.4,100.36
138.7,129.76,119.98,130.66,100.99,100.88,93.14,98.39,100.37
138.67,129.78,119.99,130.68,101.0,100.88,93.1,98.38,100.37
138.66,129.78,120.0,130.7,101.01,100.9,93.07,98.36,100.37
138.66,129.76,120.0,130.69,101.01,100.91,93.09,98.36,100.37
138.65,129.75,119.99,130.67,101.01,100.91,93.14,98.37,100.37
138.65,129.75,119.98,130.67,101.0,100.9,93.18,98.38,100.37
138.64,129.72,119.99,130.68,101.0,100.91,93.17,98.36,100.37
