gas_ftir_scan30_replicate1,gas_ftir_scan30_replicate2,gas_ftir_scan30_replicate3,gas_ftir_scan30_replicate4,gas_ftir_scan30_replicate5,gas_ftir_scan30_replicate6,gas_ftir_scan30_replicate7,gas_ftir_scan30_replicate8,gas_ftir_scan30_replicate9
92.75,106.96,99.83,133.39,129.32,113.61,107.37,128.49,116.94
92.75,106.95,99.81,133.4,129.29,113.59,107.36,128.47,116.94
92.76,106.94,99.8,133.4,129.28,113.58,107.35,128.46,116.93
92.76,106.93,99.79,133.39,129.29,113.57,107.35,128.46,116.92
92.76,106.94,99.79,133.38,129.3,113.57,107.36,128.47,116.92
92.75,106.95,99.8,133.36,129.31,113.58,107.36,128.48,116.92
92.75,106.95,99.81,133.35,129.32,113.59,107.36,128.47,116.92
92.75,106.95,99.82,133.34,129.33,113.6,107.37,128.47,116.91
92.76,106.95,99.83,133.34,129.35,113.61,107.37,128.48,116.9
92.76,106.95,99.84,133.34,129.36,113.62,107.37,128.49,116.9
92.76,106.96,99.85,133.33,129.36,113.63,107.37,128.49,116.89
92.75,106.97,99.85,133.33,129.36,113.63,107.37,128.49,116.89
92.75,106.96,99.85,133.33,129.35,113.62,107.36,128.48,116.89
92.75,106.95,99.84,133.33,129.33,113.62,107.35,128.47,116.89
92.75,106.95,99.84,133.34,129.31,113.61,107.35,128.47,116.89
92.75,106.94,99.82,133.34,129.29,113.6,107.34,128.46,116.89
92.75,106.94,99.81,133.35,129.27,113.58,107.34,128.44,116.89
92.75,106.93,99.79,133.34,129.24,113.57,107.33,128.42,116.89
92.75,106.92,99.78,133.34,129.22,113.56,107.32,128.4,116.88
92.76,106.9,99.78,133.33,129.22,113.54,107.31,128.38,116.86
92.76,106.89,99.77,133.33,129.22,113.53,107.31,128.38,116.85
92.76,106.9,99.76,133.32,129.22,113.52,107.32,128.39,116.85
92.76,106.93,99.78,133.31,129.22,113.52,107.33,128.38,116.85
92.77,106.95,99.8,133.29,129.21,113.53,107.33,128.36,116.85
92.78,106.94,99.83,133.26,129.21,113.53,107.32,128.34,116.82
92.79,106.93,99.84,133.25,129.22,113.53,107.32,128.35,116.8
92.79,106.94,99.83,133.24,129.23,113.52,107.32,128.37,116.8
92.77,106.96,99.82,133.23,129.22,113.52,107.33,128.38,116.82
92.77,106.96,99.83,133.21,129.2,113.52,107.33,128.35,116.83
92.78,106.93,99.84,133.2,129.18,113.52,107.32,128.31,116.81
92.79,106.9,99.85,133.2,129.18,113.52,107.31,128.3,116.78
92.79,106.9,99.84,133.2,129.17,113.51,107.31,128.31,116.78
92.78,106.92,99.81,133.21,129.14,113.49,107.32,128.3,116.79
92.77,106.9,99.79,133.21,129.11,113.47,107.31,128.26,116.79
92.78,106.87,99.77,133.2,129.08,113.45,107.3,128.22,116.77
92.79,106.85,99.77,133.2,129.08,113.44,107.29,128.22,116.76
92.78,106.87,99.77,133.19,129.08,113.44,107.3,128.23,116.77
