gas_ftir_scan64_replicate1,gas_ftir_scan64_replicate2,gas_ftir_scan64_replicate3,gas_ftir_scan64_replicate4,gas_ftir_scan64_replicate5,gas_ftir_scan64_replicate6,gas_ftir_scan64_replicate7,gas_ftir_scan64_replicate8,gas_ftir_scan64_replicate9,gas_ftir_scan64_replicate10,gas_ftir_scan64_replicate11,gas_ftir_scan64_replicate12,gas_ftir_scan64_replicate13
134.58,135.4,128.88,129.69,130.08,130.97,104.8,105.04,100.07,99.89,91.55,100.22,98.79
134.59,135.42,128.88,129.69,130.09,130.98,104.8,105.04,100.07,99.89,91.55,100.22,98.79
134.61,135.43,128.89,129.69,130.1,130.99,104.8,105.04,100.07,99.89,91.55,100.22,98.8
134.62,135.45,128.89,129.69,130.11,130.99,104.79,105.03,100.07,99.89,91.55,100.22,98.8
134.64,135.47,128.88,129.69,130.12,131.0,104.79,105.03,100.07,99.89,91.56,100.22,98.8
134.67,135.49,128.88,129.69,130.13,131.02,104.78,105.02,100.06,99.89,91.56,100.22,98.8
134.69,135.51,128.88,129.69,130.14,131.03,104.77,105.01,100.06,99.9,91.56,100.22,98.8
134.73,135.55,128.87,129.68,130.16,131.04,104.77,105.01,100.06,99.9,91.56,100.22,98.79
134.77,135.59,128.88,129.68,130.18,131.06,104.76,105.0,100.06,99.9,91.56,100.22,98.79
134.8,135.62,128.89,129.69,130.21,131.09,104.76,105.0,100.06,99.9,91.56,100.22,98.79
134.79,135.61,128.9,129.7,130.21,131.09,104.76,105.0,100.06,99.9,91.56,100.22,98.79
